"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_03_BOND_BIZUSE_PTR_OWN_X","SK_03_BOND_BIZUSE_LEASEARRANGE_X","SK_03_BOND_BIZUSE_MGMT_KONTR_X","SK_03_BOND_BIZUSE_RSRCH_AGREE_X","BondCounselRoutinelyEngaged","PostIssuanceComplianceProcdrs","SK_03_BOND_ISSUE_REFERENCE_NUM","SK_03_BOND_BIZUSE_PRIVATE_SEC_X","SK_03_BOND_BIZUSE_CHANGE_X","SK_03_BOND_BIZUSE_REMEDIATED_X","SK_03_BOND_BIZUSE_PCT_BY_OTH","SK_03_BOND_BIZUSE_PCT_TOT_L45","SK_03_BOND_BIZUSE_PCT_UBIZ","SK_03_BOND_BIZUSE_REMEDIAL_ACT_X","SK_03_BOND_BIZUSE_COUNS_KONTR_X"
"201132039349300303","540541801","THE MARINERS' MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201132039349300303_public.xml","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml","0","0","0","0",NA,NA,"A","0","0","0","0.02200","0.02200",NA,NA,NA
"201531189349301208","841366092","MUSEUM OF CONTEMPORARY ART DENVER","2013","990","https://s3.amazonaws.com/irs-form-990/201531189349301208_public.xml","false","false","false","false",NA,NA,"A","false","false","true",NA,NA,NA,NA,NA
"201232239349301298","362167797","Museum of Science and Industry","2011","990","https://s3.amazonaws.com/irs-form-990/201232239349301298_public.xml","false","false","false","false",NA,"true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","0","0","0","0",NA,NA,"B","0","0","0",NA,NA,NA,NA,NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml","0","0","0","0",NA,NA,"A","1","0","1","0.00000","0.00000","0.00000",NA,NA
"201311219349300411","311620682","MONTPELIER FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201311219349300411_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","0","0","0","0",NA,NA,"A","0","0","1","0.00000","0.00000","0.00000",NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","0","0","0","0",NA,NA,"B","0","0","1","0.00000","0.00000","0.00000",NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","true","false","false",NA,NA,"A","false","false","false","0",NA,NA,"false",NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","true","true","false",NA,NA,"B","false","false","false","0",NA,NA,"false","true"
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","true","true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201340449349301169","941156258","CALIFORNIA ACADEMY OF SCIENCES","2011","990","https://s3.amazonaws.com/irs-form-990/201340449349301169_public.xml","false","false","false","false",NA,"true",NA,NA,NA,NA,"0.00000","0.00000","0.00000",NA,NA
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","0","0","1","0",NA,NA,"A","0","0","0","0.01120","0.01620","0.00500",NA,"1"
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml","0","0","0","0",NA,NA,"A","0","0","0",NA,NA,NA,NA,NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","false","false","false","false",NA,NA,"A","false","false","true","0",NA,NA,"false",NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","false","true","false",NA,NA,"A","false","false","true","0",NA,NA,"false","true"
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","false","true","false",NA,NA,"B","false","false","true","0",NA,NA,"false","true"
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","0","0","0","0",NA,NA,"A","0","0","1",NA,NA,NA,NA,NA
