"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SK_04_BOND_ARB_FORM_8038_FILED_X","SK_04_BOND_ARB_VAR_RATE_ISSUE_X","SK_04_BOND_ARB_HEDGE_IDENTIFY_X","SK_04_BOND_ARB_GIC_INVESTED_X","SK_04_BOND_ARB_PROCEED_INVEST_X","SK_04_BOND_ARB_REBATE_EXCEPT_X","SK_04_BOND_ISSUE_REFERENCE_NUM","SK_04_BOND_ARB_REBATE_NOT_DUE_X","SK_04_BOND_ARB_NO_REBATE_DUE_X","SK_04_BOND_ARB_WRITTEN_PROC_X","SK_04_BOND_ARB_HEDGE_TERM","SK_04_BOND_ARB_HEDGE_INTEGRATE_X","SK_04_BOND_ARB_HEDGE_TERMINATE_X","SK_04_BOND_ARB_GIC_TERM","SK_04_BOND_ARB_GIC_SAFE_HARBOR_X"
"201132039349300303","540541801","THE MARINERS' MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201132039349300303_public.xml","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202101139349300315","952210527","CALIFORNIA SCIENCE CENTER FOUNDATION","2019","990","https://s3.amazonaws.com/irs-form-990/202101139349300315_public.xml","0","0","0","0","0","1","A","1","0","1",NA,NA,NA,NA,NA
"201823169349302777","520668166","MARYLAND ACADEMY OF SCIENCES","2017","990","https://s3.amazonaws.com/irs-form-990/201823169349302777_public.xml","0","0","0","0","0","0","A","0","0","0",NA,NA,NA,NA,NA
"201531189349301208","841366092","MUSEUM OF CONTEMPORARY ART DENVER","2013","990","https://s3.amazonaws.com/irs-form-990/201531189349301208_public.xml","false","false","false","false","false","false","A","false","false","false",NA,NA,NA,NA,NA
"201623209349308232","043157815","PEABODY ESSEX MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201623209349308232_public.xml","0","0","0","0",NA,"0","A","1","0","1",NA,NA,NA,NA,NA
"201232239349301298","362167797","Museum of Science and Industry","2011","990","https://s3.amazonaws.com/irs-form-990/201232239349301298_public.xml","false","true","false","false","false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","1","0","0","0","0",NA,"A",NA,NA,"0",NA,NA,NA,NA,NA
"202023219349304317","760217152","MANNED SPACE FLIGHT EDUCATION","2019","990","https://s3.amazonaws.com/irs-form-990/202023219349304317_public.xml","1","0","0","0","0",NA,"B",NA,NA,"0",NA,NA,NA,NA,NA
"202023189349311082","464118590","THE WALT DISNEY FAMILY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349311082_public.xml","0","0","0","0","0","0","A","1","0","1",NA,NA,NA,NA,NA
"201311219349300411","311620682","MONTPELIER FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201311219349300411_public.xml","0","1","1","0","0","0","A","0","0","0","5.000000000000","1","0",NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","0","1","0","0","0","0","A","0","0","1",NA,NA,NA,NA,NA
"201432239349301048","530206027","Smithsonian Institution","2012","990","https://s3.amazonaws.com/irs-form-990/201432239349301048_public.xml","0","0","0","0","0","0","B","0","0","1",NA,NA,NA,NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","true","false","false","false","false","A","false","true","false",NA,NA,NA,NA,NA
"201641349349304219","340714336","Cleveland Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201641349349304219_public.xml","false","false","false","false","false","false","B","true","false","false",NA,NA,NA,NA,NA
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","0","0","0","0","0","0","A","1","0","1",NA,NA,NA,NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","0","0","0","0","0","0","A","1","0","0",NA,NA,NA,NA,NA
"202040629349300329","510205333","VIRGINIA MUSEUM OF FINE ARTS FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/202040629349300329_public.xml","0","1","0","0","0","0","B","1","0","0",NA,NA,NA,NA,NA
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","true","true","false","true","true","false",NA,NA,NA,NA,NA,NA,NA,"3.4","true"
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","true","false","true","false","false",NA,NA,NA,NA,NA,NA,NA,"1.95","true"
"201243499349300134","446012977","Nelson Gallery Foundation","2010","990","https://s3.amazonaws.com/irs-form-990/201243499349300134_public.xml","false","false","false","false","false","false",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201903129349302130","620753887","COUNTRY MUSIC FOUNDATION INC","2018","990","https://s3.amazonaws.com/irs-form-990/201903129349302130_public.xml","0","0","0","0","0","1","A","0","0","0",NA,NA,NA,NA,NA
"201340449349301169","941156258","CALIFORNIA ACADEMY OF SCIENCES","2011","990","https://s3.amazonaws.com/irs-form-990/201340449349301169_public.xml","false","true","false","false","false","true",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201721179349301402","133475390","LOWER EAST SIDE TENEMENT MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201721179349301402_public.xml","0","0","0","0","0","0","A","0","0","0",NA,NA,NA,NA,NA
"201410739349300906","042104327","THE INSTITUTE OF CONTEMPORARY ART INC","2012","990","https://s3.amazonaws.com/irs-form-990/201410739349300906_public.xml","0","1","0","0","0","0","A","0","1","0",NA,NA,NA,NA,NA
"201903019349300230","421415581","SALISBURY HOUSE FOUNDATION","2018","990","https://s3.amazonaws.com/irs-form-990/201903019349300230_public.xml","0","0","0","0","0","0","A","0","0","0",NA,NA,NA,NA,NA
"201801319349302585","941156258","CALIFORNIA ACADEMY OF SCIENCES","2016","990","https://s3.amazonaws.com/irs-form-990/201801319349302585_public.xml","false","true","false","false","false","false","A","false","true","false",NA,NA,NA,NA,NA
"201512889349301656","930402877","OREGON MUSEUM OF SCIENCE AND INDUSTRY","2014","990","https://s3.amazonaws.com/irs-form-990/201512889349301656_public.xml","0","0","0","0","0","1","A","0","0","1",NA,NA,NA,NA,NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","true","false","false","false","true","A",NA,NA,"true",NA,NA,NA,NA,NA
"202100409349300920","131624086","METROPOLITAN MUSEUM OF ART","2019","990","https://s3.amazonaws.com/irs-form-990/202100409349300920_public.xml","false","true","false","false","false","true","B",NA,NA,"true",NA,NA,NA,NA,NA
"201443189349304304","411260780","Plains Art Museum","2013","990","https://s3.amazonaws.com/irs-form-990/201443189349304304_public.xml","0","0","0","0","0","0","A","0","1","0",NA,NA,NA,NA,NA
"201621279349300802","231365388","Philadelphia Museum of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201621279349300802_public.xml","0","1","0","0","0","0","A","0","1","1",NA,NA,NA,NA,NA
