"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_02_GRANT_US_ORG_EIN","SI_02_GRANT_US_ORG_IRC_SECTION","SI_02_GRANT_US_ORG_AMT_CASH","SI_02_GRANT_US_ORG_PURPOSE","SI_02_GRANT_US_ORG_NAME_L1","SI_02_GRANT_US_ORG_ADDR_L1","SI_02_GRANT_US_ORG_ADDR_CITY","SI_02_GRANT_US_ORG_ADDR_STATE","SI_02_GRANT_US_ORG_ADDR_ZIP","SI_02_GRANT_US_ORG_MOV","SI_02_GRANT_US_ORG_DESC_NONCSH","SI_02_GRANT_US_ORG_NAME_L2","SI_02_GRANT_US_ORG_AMT_NONCSH"
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","201166851","501(C)(3)","50316","TO BUILD A RESEARCH BASE ON HOW TO ENGAGE AND EMPOWER RURAL COMMUNITIES","WHITE MOUNTAIN NATURE CENTER","PO BOX 581","PINETOP","AZ","85935",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","860542973","501(C)(3)","39581","CREATE A PROFESSIONAL DEVELOPMENT OPPORTUNITIES FOR COMMUNITY LEADERS AND MEMBERS, ETC.","ARIZONA REGIONAL ECONOMIC DEVELOPMENT FOUNDAITON","750 E BARTOW DRIVE STE 16","SIERRA VISTA","AZ","85635",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","866007877","GOVERNMENT","25175","PROVIDE SUSTAINABILITY FOR EXPERTS, RESOURCES, AND BEST PRACTICES WITHIN THE NETWORK, ETC.","CITY OF COTTONWOODVERDE VALLEY RIC","816 N MAIN STREET","COTTONWOOD","AZ","85656",NA,NA,NA,NA
"202011069349301726","860390558","ARIZONA SCIENCE CENTER","2018","990","https://s3.amazonaws.com/irs-form-990/202011069349301726_public.xml","866000754","SCHOOL","50001","IN STATE TRAVEL (SCITECH KISCOFF) AND SUPPLIES PLANESPHERES, ETC.","EASTERN ARIZONA COLLEGE","615 N STADIUM AVE","THATCHER","AZ","85552",NA,NA,NA,NA
"201802689349301255","942764158","390TH MEMORIAL MUSEUM FOUNDATION INC","2017","990","https://s3.amazonaws.com/irs-form-990/201802689349301255_public.xml","382387453","501(C)(3) PUBLIC CHA","8750","TO SPONSOR THE VINTAGE AIRCRAFT MAINTENANCE PROJECT WHICH IS AN INTEGRAL PART OF THE 390TH MEMORIAL MUSEUM'S HISTORICAL EDUCATIONAL MISSION. THESE WERE THE AIRCRAFT FLOWN BY THE BOMB GROUP MEMORIALIZED BY THE 390TH.","YANKEE AIR MUSEUM","PO BOX 590","BELLEVILLE","MI","48112","N/A","N/A",NA,NA
"202141339349305524","943045948","CORPORATION OF THE FINE ARTS MUSEUMS","2019","990","https://s3.amazonaws.com/irs-form-990/202141339349305524_public.xml","946096509","501(C)(3)","506243","OPERATIONAL SUPPORT","FINE ARTS MUSEUMS FOUNDATION","50 HAGIWARA TEA GARDEN DRIVE","SAN FRANCISCO","CA","94118","FMV",NA,NA,NA
"201303199349308215","951686172","NATIONAL HOT ROD ASSOCIATION","2012","990","https://s3.amazonaws.com/irs-form-990/201303199349308215_public.xml","810650744","501(C)(3)","6900","CONTRIBUTION FOR MINISTRY SUPPORTING RACERS","RPM MINISTRY INC","PO BOX 833298","RICHARDSON","TX","750833298",NA,NA,NA,NA
"201813339349301026","912151686","BURKE MUSEUM ASSOCIATION","2017","990","https://s3.amazonaws.com/irs-form-990/201813339349301026_public.xml","916001537",NA,"1290287","MUSEUM SUPPORT","UNIVERSITY OF WASHINGTON BURKE MUSEUM","BOX 353010","SEATTLE","WA","98195",NA,NA,NA,NA
"201602179349300710","536001666","National Gallery of Art","2014","990","https://s3.amazonaws.com/irs-form-990/201602179349300710_public.xml","800188269",NA,"7500","Tuition assistance program","FTC Child Care Center (Bright Horizons)","600 Pennsylvania Ave NW","Washington","DC","20580",NA,NA,NA,NA
"201322979349301137","621731495","FRIST CENTER FOR THE VISUAL ARTS FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201322979349301137_public.xml","621731492","501(C)(3)","848772","SUPPORT FOR OPERATING A HIGH QUALITY CENTER FOR THE VISUAL ARTS IN TENNESSEE.","FRIST CENTER FOR VISUAL ARTS INC","919 BROADWAY","NASHVILLE","TN","37203",NA,NA,NA,NA
"201623099349301202","470835035","JOSLYN ART MUSEUM FOUNDATION","2015","990","https://s3.amazonaws.com/irs-form-990/201623099349301202_public.xml","470384577","501(C)(3)","3566706","ALL FUNDS ARE GRANTED TO ITS SUPPORTED 501(C)(3) ORGANIZATION, THE JOSLYN ART MUSEUM","JOSLYN ART MUSEUM","2200 DODGE STREET OMAHA NE 68102","OMAHA","NE","68102","N/A","N/A",NA,NA
"201702019349300810","273172065","SOUTHEASTERN RAILWAY MUSEUM INC","2016","990","https://s3.amazonaws.com/irs-form-990/201702019349300810_public.xml","586041583","501(C)(3)","32138","Designated funds for related entity projects","Atlanta Chapter - National Railway Historical Society INC","PO Box 1267","Duluth","GA","30096","Book","n/a",NA,NA
"201543209349311424","951686172","NATIONAL HOT ROD ASSOCIATION","2014","990","https://s3.amazonaws.com/irs-form-990/201543209349311424_public.xml","810650744","501(C)(3)","7200","CONTRIBUTION FOR MINISTRY SUPPORTING RACERS","RPM MINISTRY INC","PO BOX 833298","RICHARDSON","TX","750833298",NA,NA,NA,NA
"201543209349311424","951686172","NATIONAL HOT ROD ASSOCIATION","2014","990","https://s3.amazonaws.com/irs-form-990/201543209349311424_public.xml","262176362","501(C)(3)","10500","TRAIN AND EDUCATE TEENAGE DRIVERS AND THEIR PARENTS ABOUT THE IMPORTANCE OF SAFE AND RESPONSIBLE DRIVING TO PREVENT INJURIES AND SAVE LIVES","BRAKES (PUT ON THE BRAKES)","7140 WEDDINGTON ROAD NW STE 120","CONCORD","NC","280273467",NA,NA,NA,NA
"201543209349311424","951686172","NATIONAL HOT ROD ASSOCIATION","2014","990","https://s3.amazonaws.com/irs-form-990/201543209349311424_public.xml","131669975","501(C)(3)","14300","EDUCATIONAL PROGRAMS TO MENTOR & ASSIST STUDENTS WHO HAVE OVERCOME ADVERSITY AND WANT TO PURSUE HIGHER EDUCATION.","HORATIO ALGER ASSOCIATION","99 CANAL CENTER PLAZA SUITE 320","ALEXANDRIA","VA","22314",NA,NA,NA,NA
"201741259349300229","840469675","MESA VERDE MUSEUM ASSOCIATION","2016","990","https://s3.amazonaws.com/irs-form-990/201741259349300229_public.xml","530197094","GOV","155155","SUPPORT","NATIONAL PARK SERVICE","MESA VERDE NATIONAL PARK","MESA VERDE","CO","81330",NA,NA,NA,NA
"201132349349300203","593089566","MARGARET ACHESON STUART SOCIETY INC","2010","990","https://s3.amazonaws.com/irs-form-990/201132349349300203_public.xml","590949278","501","211000","EDUCATION PROGRAMS","MUSEUM OF FINE ARTS","255 BEACH DR NE","ST PETERSBURG","FL","33701",NA,NA,"OF ST PETERSBURG FLORIDA INC",NA
"201233139349301983","742916783","Texas State History Museum Foundation","2011","990","https://s3.amazonaws.com/irs-form-990/201233139349301983_public.xml",NA,NA,"250542","General support","Texas State History Mu","PO Box 12874","Austin","TX","78711",NA,NA,NA,"0"
"201233139349301983","742916783","Texas State History Museum Foundation","2011","990","https://s3.amazonaws.com/irs-form-990/201233139349301983_public.xml",NA,NA,"9242","Field trip to museum","Midland ISD","615 W Missouri Ave","Midland","TX","79701",NA,NA,NA,"0"
"201911719349300531","431792437","AMERICAN NATIONAL FISH & WILDLIFE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201911719349300531_public.xml","431826413","GOVT","266070",NA,"AMERICAN NAT'L FISH & WILDLIFE MUSEUM DISTRICT","500 W SUNSHINE","SPRINGFIELD","MO","65807",NA,NA,NA,NA
"201911719349300531","431792437","AMERICAN NATIONAL FISH & WILDLIFE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201911719349300531_public.xml","822342237","501(C)(3)","805303",NA,"JOHNNY MORRIS' WONDERS OF WILDLIFE FDN","2500 E KEARNEY STREET","SPRINGFIELD","MO","65898",NA,NA,NA,NA
"201643199349311034","742623524","MAYFIELD LIBRARY & MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201643199349311034_public.xml","742623524",NA,NA,"CHARITABLE DISTRIBUTIONS FROM BINGO OPERATIONS ARE USED TO MAINTAIN, IMPROVE AND ENHANCE LOCAL LIBRARY SERVICES.","MAYFIELD LIBRARY & MUSEUM","PO BOX 217","HOLLAND","TX","76534",NA,NA,NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","471882065",NA,"50000","UNRESTRICTED","BEELINE READER","115 OTIS AVE","WOODSIDE","CA","94062",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","042774441",NA,"50000","UNRESTRICTED","CHILDREN'S HOSPITAL","300 LONGWOOD AVE","BOSTON","MA","02115",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","272309187",NA,"50000","UNRESTRICTED","DAYONE RESPONSE INC","375 21ST AVE SUITE 6","SAN FRANCISCO","CA","94121",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","273764203",NA,"50000","UNRESTRICTED","MIRACLEFEET","410 W MAIN STREET","CARRBORO","NC","27510",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","900514027",NA,"50000","UNRESTRICTED","NEXLEAF ANALYTICS","2356 PELHAM AVE","LOS ANGELES","CA","90064",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","131740011",NA,"50000","UNRESTRICTED","WILDLIFE CONSERVATION SOCIETY","2300 SOUTHERN BLVD","BRONX","NY","10460",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201710419349301796","942864660","THE TECH MUSEUM OF INNOVATION","2015","990","https://s3.amazonaws.com/irs-form-990/201710419349301796_public.xml","830509261",NA,"25000","UNRESTRICTED","EMBRACE","1611 TELEGRAPH AVE","OAKLAND","CA","94612",NA,"CASH PRIZE TECH AWARDS",NA,NA
"201742079349300639","593089566","MARGARET ACHESON STUART SOCIETY INC","2016","990","https://s3.amazonaws.com/irs-form-990/201742079349300639_public.xml","590949278","501C3","280570","EDUCATION PROGRAMS","MUSEUM OF FINE ARTS","255 BEACH DR NE","ST PETERSBURG","FL","33701",NA,NA,"OF ST PETERSBURG FLORIDA INC",NA
"201742079349300639","593089566","MARGARET ACHESON STUART SOCIETY INC","2016","990","https://s3.amazonaws.com/irs-form-990/201742079349300639_public.xml","590949278","501C3","55000","MOSAIC RESTORATION","MUSEUM OF FINE ARTS","255 BEACH DR NE","ST PETERSBURG","FL","33701",NA,NA,"OF ST PETERSBURG FLORIDA INC",NA
"201713409349300411","630947414","PIKE COUNTY MUSEUM FOUNDATION","2016","990","https://s3.amazonaws.com/irs-form-990/201713409349300411_public.xml","237004506","3","10801","PRESERVATION","PIONEER MUSEUM OF ALABAM","248 US HIGHWAY 231 NORTH","TROY","AL","36081",NA,NA,NA,NA
"202120969349300232","731374647","Cowboy Hall of Fame Affiliated Fund of O","2019","990","https://s3.amazonaws.com/irs-form-990/202120969349300232_public.xml","300341029","501(c)(3)","82036","General Purposes","National Cowboy & Western Heritage Museum","1700 NE 63rd Street","Oklahoma City","OK","731117906",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","521926756","501(c)(3)","21033","Fed'l subaward: Nanoscale Informal Science Education","Association of Science-Technology Centers","1025 Vermont Ave NW 500","Washington","DC","20005",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","742178563","501(c)(3)","113340","Fed'l subaward: Nanoscale Informal Science Education","Childrens Museum of Houston","1500 Binz St","Houston","TX","77004",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","383792037",NA,"10000","Fed'l subaward: Bridging Eng., Sci., and Tech.","Davis Square Research Associates","119 College Ave 41","Somerville","MA","02144",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","453341721",NA,"22414","Fed'l subaward: Creating Communities of Learners","Evergreene Research & Evaluation","127 Cobbler Lane","Sugar Grove","IL","60054",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","941696494","501(c)(3)","64514","Fed'l subaward: Nanoscale Informal Science Education","Exploratorium","3601 Lyon St","San Francisco","CA","94123",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","042103580","501(c)(3)","8594","Fed'l subaward: Creating Communities of Learners","Harvard University","1033 Mass Ave Ste 3","Cambridge","MA","02138",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","943385783",NA,"12214","Fed'l subaward: Creating Mus. Media for Everyone","Ideum Inc","2469 Corrales Rd Bldg C","Corrales","NM","87048",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","521467051","501(c)(3)","51000","Fed'l subaward: Virtual Humans exhibit","Institute For Learning Innovation","3168 Braverton St 280","Edgewater","MD","21037",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","520595110","501(c)(3)","9648","Fed'l subaward: Creating Communities of Learners","Johns Hopkins University","1101 E 33rd St","Baltimore","MD","21211",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","042707499","501(c)(3)","15000","Subaward under Broadcom Science Fair grant","MA State Science & Engineering Fair","955 Mass Ave 350","Cambridge","MA","02138",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","391383497","501(c)(3)","9443","Fed'l subaward: Creating Communities of Learners","Madison Children's Museum","100 N Hamilton St","Madison","WI","53703",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","520668166","501(c)(3)","14975","Fed'l subaward: Creating Communities of Learners","Maryland Science Center","601 Light Street","Baltimore","MD","21230",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","311037979","501(c)(3)","84519","Fed'l subaward: Nanoscale Informal Science Education","Materials Research Society","506 Keystone Dr","Warrendale","PA","15086",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","112104059","501(c)(3)","46842","Fed'l subaward: Nanoscale Informal Science Education","New York Hall of Science","47-01 111th St","Corona","NY","11368",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","560938434","501(c)(3)","143154","Fed'l subaward: Nanoscale Informal Science Education","North Carolina Museum of Life and Science","433 W Murray Ave","Durham","NC","27704",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","930402877","501(c)(3)","370258","Fed'l subaward: Nanoscale Informal Science Education","Oregon Museum of Science and Industry","1945 SE Water Ave","Portland","OR","97214",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","410706172","501(c)(3)","2453264","Fed'l subaward: Nanoscale Informal Science Education","Science Museum of Minnesota","120 W Kellogg Blvd","St Paul","MN","55102",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","222470652","501(c)(3)","420407","Fed'l subaward: Nanoscale Informal Science Education","Sciencenter","601 First St","Ithaca","NY","14850",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","841215290","501(c)(3)","20312","Fed'l subaward: Creating Mus. Media for Everyone","Space Science Institute","4750 Walnut St Ste 205","Boulder","CO","80301",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","941160950","501(c)(3)","95750","Fed'l subaward: Nanoscale Informal Science Education","SRI International","333 Ravenswood Ave","Menlo Park","CA","940253493",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","231370501","501(c)(3)","61643","Fed'l subaward: Nanoscale Informal Science Education","The Franklin Institute Science Museum","222 North 20th Street","Philadelphia","PA","19103",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","946002123","State of CA","200335","Fed'l subaward: Nanoscale Informal Science Education","The Regents of Univ of CA Berkeley","171 University Hall Spc 1104","Berkeley","CA","94720",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","396028867","State of WI","83564","Fed'l subaward: Nanoscale Informal Science Education","University of Wisconsin","1220 Linden Dr","Madison","WI","53706",NA,NA,NA,NA
"201320449349300187","042103916","MUSEUM OF SCIENCE","2011","990","https://s3.amazonaws.com/irs-form-990/201320449349300187_public.xml","042104397","501(c)(3)","17147","Fed'l subaward: Creating Mus. Media for Everyone","WGBH Educational Foundation","One Guest Street","Boston","MA","02135",NA,NA,NA,NA
"201710609349300626","611229037","INTERNATIONAL BLUEGRASS MUSIC MUSEUM INC","2015","990","https://s3.amazonaws.com/irs-form-990/201710609349300626_public.xml",NA,NA,"4400000","AID IN CONSTRUCTION COSTS","CITY OF OWENSBORO","PO BOX 10003","OWENSBORO","KY","42302",NA,NA,NA,NA
"201113149349302371","562527245","FRIENDS OF JOHN GARNER MUSEUM","2010","990","https://s3.amazonaws.com/irs-form-990/201113149349302371_public.xml",NA,NA,"200000",NA,"JOHN NANCE GARNER MUSEUM","333 N PARK ST","UVALDE","TX","78801",NA,NA,NA,"0"
"201920609349301327","470632772","STUHR MUSEUM FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201920609349301327_public.xml","470527040","3","255635","OPERATING SUPPORT","STUHR MUSEUM OF THE PRAIRIE PIONEER","3133 W HWY 34","GRAND ISLAND","NE","68801",NA,NA,NA,NA
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","351359513","501(C)(3)","150000","GENERAL ASSISTANCE","THE HENRY FORD","20900 OAKWOOD BLVD","DEARBORN","MI","48124","FMV","N/A",NA,NA
"202002309349303615","954739699","PETERSEN AUTOMOTIVE MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202002309349303615_public.xml","956132185","501(C)(3)",NA,"GENERAL ASSISTANCE","NATURAL HISTORY MUSEUM OF LOS ANGELES COUNTY","900 W EXPOSITION BLVD","LOS ANGELES","CA","90007","FMV","1981 DELOREAN AUTOMOBILE",NA,"12000"
"201643199349306979","570358146","THE MUSEUM ASSOCIATION INC","2015","990","https://s3.amazonaws.com/irs-form-990/201643199349306979_public.xml","570537060","GOV","875000","PROMOTING FINE ARTS","GREENVILLE COUNTY MUSEUM OF ART","420 COLLEGE STREET","GREENVILLE","SC","29601",NA,NA,NA,NA
"201323179349306087","680632648","HUBBARD MUSEUM OF THE AMERICAN WEST","2012","990","https://s3.amazonaws.com/irs-form-990/201323179349306087_public.xml",NA,"GOV","277955",NA,"HUBBARD MUSEUM OF THE AM WEST","HIGHWAY 70","RUIDOSO DOWNS","NM","88346",NA,NA,"CITY OF RUIDOSO DOWNS",NA
"201322119349300757","203623211","KENOSHA PUBLIC MUSEUMS FOUNDATION INC","2012","990","https://s3.amazonaws.com/irs-form-990/201322119349300757_public.xml","396005481","501(C)(3)","285000","OPERATIONS","KENOSHA PUBLIC MUSEUM","5500 1ST AVE","KENOSHA","WI","53140",NA,NA,NA,NA
"201521339349304512","042240363","JOHN WOODMAN HIGGINS ARMORY INC","2014","990","https://s3.amazonaws.com/irs-form-990/201521339349304512_public.xml","041988530","501(C)(3)","5184718","TRANFER OF CORE COLLECTION AND FINANCIAL ASSETS","WORCESTER ART MUSEUM","55 SALISBURY STREET","WORCESTER","MA","01609","FAIR MARKET VALUE","TRANSFER OF COLLECTION AND FINANCIAL ASSETS",NA,"1952112"
"202130629349301758","410726138","MINNESOTA MUSEUM OF AMERICAN ART","2019","990","https://s3.amazonaws.com/irs-form-990/202130629349301758_public.xml","822978503","501(C)3","336649","TO HELP THE ORGANIZATION ACHIEVE ITS MISSION","FRIENDS OF THE M","350 ROBERT STREET NORTH","ST PAUL","MN","55101",NA,NA,NA,NA
"201331089349300058","341675380","Youth Museum Exhibit Collaborative","2012","990","https://s3.amazonaws.com/irs-form-990/201331089349300058_public.xml","223199269","501(c)(3)","25000","Exhibit development","Stepping Stones","303 West Ave","Norwalk","CT","06850",NA,NA,NA,"0"
"201331089349300058","341675380","Youth Museum Exhibit Collaborative","2012","990","https://s3.amazonaws.com/irs-form-990/201331089349300058_public.xml","411354181","501(c)(3)","10000","Exhibit development","MN Childrens Museum","10 West Seventh Street","St Paul","MN","55102",NA,NA,NA,"0"
"201331089349300058","341675380","Youth Museum Exhibit Collaborative","2012","990","https://s3.amazonaws.com/irs-form-990/201331089349300058_public.xml","113035221","501(c)(3)","100000","Exhibit development","Long Island Childrens Museum","11 Davis Avenue","Garden City","NY","11530",NA,NA,NA,"0"
"201331089349300058","341675380","Youth Museum Exhibit Collaborative","2012","990","https://s3.amazonaws.com/irs-form-990/201331089349300058_public.xml","942870828","501(c)(3)","105000","Exhibit development","Childrens Discovery Museum","180 Woz Way","San Jose","CA","95110",NA,NA,NA,"0"
"201331089349300058","341675380","Youth Museum Exhibit Collaborative","2012","990","https://s3.amazonaws.com/irs-form-990/201331089349300058_public.xml","042103993","501(c)(3)","10000","Exhibit Development","Boston Childrens Mus","308 Congress Street","Boston","MA","02210",NA,NA,NA,"0"
"201632249349302408","521382926","NATIONAL LAW ENFORCEMENT OFFICERS","2015","990","https://s3.amazonaws.com/irs-form-990/201632249349302408_public.xml","223530541","501(C)(3)","336000","TO RAISE AWARENESS OF LAW ENFORCEMENT OFFICERS WHO HAVE DIED IN THE LINE OF DUTY.","POLICE UNITY TOUR","PO BOX 528","FLORHAM PARK","NJ","07932",NA,NA,NA,NA
"201323259349300807","570713243","SOUTH CAROLINA STATE MUSEUM FOUNDATION","2012","990","https://s3.amazonaws.com/irs-form-990/201323259349300807_public.xml",NA,NA,"1581189","REIM OF OVERHEAD, P/R & OPER. COSTS","SOUTH CAROLINA STATE MUSEUM","301 GERVAIS STREET","COLUMBIA","SC","29201",NA,NA,NA,"0"
"201932209349300208","536001666","National Gallery of Art","2017","990","https://s3.amazonaws.com/irs-form-990/201932209349300208_public.xml","800188269",NA,"15000","Tuition assistance program","FTC Child Care Center (Bright Horizons)","600 Pennsylvania Ave NW","Washington","DC","20580",NA,NA,NA,NA
