"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_02_DOA_ASSET_DIST_DESC","SN_02_DOA_ASSET_DIST_DATE","SN_02_DOA_ASSET_DIST_FMV","SN_02_DOA_ASSET_DIST_FMV_METHOD","SN_02_DOA_RECIP_EIN","SN_02_DOA_RECIP_IRC_SECTION","SN_02_DOA_RECIP_NAME_ORG_L1","SN_02_DOA_RECIP_NAME_ORG_L2","SN_02_DOA_RECIP_ADDR_L1","SN_02_DOA_RECIP_ADDR_CITY.","SN_02_DOA_RECIP_ADDR_STATE","SN_02_DOA_RECIP_ADDR_ZIP","SN_02_DOA_RECIP_NAME_PERS"
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","NET CUR. ASSET/LIAB","2017-04-01","4295","FMV","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","MUTUAL FUND INVESTMENT","2017-04-01","33085","FMV","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE COORIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","INVENTORIES","2017-04-01","70657","COST","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE COORIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","CASH & CASH EQUIVALENT","2017-04-01","260417","CASH","232977618","501 (C) 3","DELAWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201833199349300048","232019739","HUGH MOORE HISTORICAL PARK","2017","990","https://s3.amazonaws.com/irs-form-990/201833199349300048_public.xml","FIXED ASSETS, NET","2017-04-01","2742781","COST","232977618","501 (C) 3","DELEWARE & LEHIGH NATIONAL","HERITAGE CORRIDOR INC","2750 HUGH MOORE PARK ROAD","EASTON","PA","18042",NA
"201623169349301407","411354181","Minnesota Children's Museum","2015","990","https://s3.amazonaws.com/irs-form-990/201623169349301407_public.xml","LAND, BUILDING AND RELATED CAPITAL CAMPAIGN ASSETS - See Sch. O description","2015-12-11","29348221","Net Book value","475564727","501(c)(3)","MCM Holdings",NA,"10 West Seventh Street","St Paul","MN","55102",NA
"201131189349200308","510143384","FORT DOUGLAS MILITARY MUSEUM ASSOC","2010","990EZ","https://s3.amazonaws.com/irs-form-990/201131189349200308_public.xml","EXHIBITS","2010-08-24","1340684","COST","876000525","501C3",NA,NA,"201 PRESIDENTS CIRCLE ROOM 201","SALT LAKE CITY","UT","84112","THE UNIVERSITY OF UTAH"
"201603209349311765","431746820","IRISH MUSEUM AND CULTURAL CENTER","2015","990","https://s3.amazonaws.com/irs-form-990/201603209349311765_public.xml","LEASEHOLD IMPROVEMENTS - ORGANIZATION MOVED TO A NEW LOCATION","2015-10-11","245804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201213559349300311","300166095","VIRGINIA LIVING MUSEUM COMMUNITY EDUCATION FUND","2011","990","https://s3.amazonaws.com/irs-form-990/201213559349300311_public.xml","TRANSFER OF $2,723 CASH","2011-07-01","2723","CASH VALUE","546055922","501(C)(3)","VIRGINIA LIVING MUSUEM INC",NA,"524 J CLYDE MORRIS BLVD","NEWPORT NEWS","VA","23601",NA
"201543179349300014","752293175","THE HUBBARD MUSEUM","2014","990","https://s3.amazonaws.com/irs-form-990/201543179349300014_public.xml","CASH AND FIXED ASSETS","2014-12-31","8075067","MARKET","680632648","501 C 3","HUBBARD MUSEUM OF AMERICAN WEST FOU","FOUNDATION","PO BOX 449","RUIDOSO DOWNS","NM","88346",NA
"201922199349200437","202270933","Days Of '76 Museum Inc","2018","990EZ","https://s3.amazonaws.com/irs-form-990/201922199349200437_public.xml","Museum Assets","2018-09-27","457587","Orig. CostNet of Dep.","466000091","Municipality",NA,NA,"102 Sherman St","Deadwood","SD","57732","City Of Deadwood"
"201842999349300739","272511537","Harold E LeMay Museum","2017","990","https://s3.amazonaws.com/irs-form-990/201842999349300739_public.xml","Building, land and land improvements.","2018-06-01","36352673","Net Book Value","911867848","501(c)(3)","Lemay Americas Car Museum",NA,"2702 East D Street","Tacoma","WA","98421",NA
"201342249349302309","311558627","BELL COUNTY FAIR & EXHIBITION BOARD","2012","990","https://s3.amazonaws.com/irs-form-990/201342249349302309_public.xml","FAIRGROUNDS AND EXHIBITION BARN","2012-01-11","170000","170000",NA,"GOVERNMENT AGEN",NA,NA,"PO BOX 339","PINEVILLE","KY","40977","BELL COUNTY FISCAL COURT"
"201722549349200722","431877784","ORION CENTER INC","2016","990EZ","https://s3.amazonaws.com/irs-form-990/201722549349200722_public.xml","Sale of real estate 1163 S. Business Hwy 5 Camdenton, MO 65020","2016-07-06","150000","Comparative appraisal through realtor",NA,NA,NA,NA,"88 Merlin","Camdenton","MO","65020","Kari Lynn Nevins"
"201323189349300917","383430004","THE GREAT LAKES CHILDREN'S MUSEUM","2012","990","https://s3.amazonaws.com/irs-form-990/201323189349300917_public.xml","DISPOSAL OF LISTENING TO THE RIVER EXHIBIT","2012-07-01","325000","REMAINING BOOK VALUE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"201903189349307965","134178050","ITALIAN AMERICAN MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201903189349307965_public.xml","SALE OF MUSEUM BUILDING.","2018-03-28","7643460","PURCHASE PRICE OF BUILDING LESS ACCUMULATED DEPRECIATION.",NA,NA,"MULBERRY GRAND OWNER LLC",NA,"41 WOOSTER STREET 2ND FLOOR","NEW YORK","NY","10012",NA
"201201369349306845","912105758","WASHINGTON ART CONSORTIUM","2010","990","https://s3.amazonaws.com/irs-form-990/201201369349306845_public.xml","DURING THE FISCAL YEAR MOST OF THE SAFE COLLECTION RECEIVED IN THE PRIOR FISCAL YEAR WAS DISTRIBUTED TO THE MEMBER ORGANIZATIONS. THE TOTAL VALUE OF THE ART WORKS DISTRIBUTED WAS ESTIMATED TO BE $2,522,801.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201301349349306925","943094513","THE OAKLAND MUSEUM OF CALIFORNIA FOUNDATION","2011","990","https://s3.amazonaws.com/irs-form-990/201301349349306925_public.xml","ALL ASSETS TRANSFERRED TO NEW FEIN.","2012-07-01","32070106","PER AUDITED FINANCIAL STATEMENTS","453138892","501(C)(3)","OAKLAND MUSEUM OF CALIFORNIA",NA,"1000 OAK STREET","OAKLAND","CA","94607",NA
"201242199349301104","421261821","SCIENCE STATION","2010","990","https://s3.amazonaws.com/irs-form-990/201242199349301104_public.xml","EQUIPMENT & EXHIBITS","2011-09-26","19820","SALVAGE",NA,NA,"VARIOUS","VARIOUS",NA,NA,NA,NA,NA
"201933199349304188","263683029","COMMITTEE FOR AUTOSEUM MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201933199349304188_public.xml","AUTO SPEED RACER","2018-08-13","65000","AUCTION VALUE",NA,NA,"MECUM AUCTION INC",NA,"445 S MAIN ST","WALWORTH","WI","53184",NA
"201933199349304188","263683029","COMMITTEE FOR AUTOSEUM MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/201933199349304188_public.xml","AUTO FLINTSTONE","2018-08-13","50000","AUCTION VALUE",NA,NA,"MECUM AUCTION INC",NA,"445 S MAIN ST","WALWORTH","WI","53184",NA
"202021679349300347","237349939","VIRGINIA SPORTS HALL OF FAME INC","2018","990","https://s3.amazonaws.com/irs-form-990/202021679349300347_public.xml","MUSEUM BUILDING","2018-08-31","1425441","ADJUSTED BASIS AT TIME OF FORECLOSURE",NA,"LLC","SOUTHEASTERN VIRGINIA PROPERTIES LLC",NA,"6001 HARBOUR VIEW BLVD","SUFFOLK","VA","23435",NA
"201333199349305728","042880404","MUSEUM FILM NETWORK INC","2012","990","https://s3.amazonaws.com/irs-form-990/201333199349305728_public.xml","CASH DISTRIBUTION TO ALL MEMBERS EQUALLY","2012-07-25","375000","CASH",NA,"501C3 & FOREIGN CORP","15 MEMBER MUSEUM ORGANIZATIONS",NA,NA,NA,NA,NA,NA
"201540129349301184","222714165","NEW YORK STATE MUSEUM INSTITUTE","2013","990","https://s3.amazonaws.com/irs-form-990/201540129349301184_public.xml","FUND BALANCE - RESTRICTED FUNDS RETURNED TO DONOR","2013-12-04","74381",NA,"452725381","501C3","NYS ADADEMY OF MINERALOGY",NA,"PO BOX 2455 EMPIRE STATE PLAZ","ALBANY","NY","12220",NA
"201540129349301184","222714165","NEW YORK STATE MUSEUM INSTITUTE","2013","990","https://s3.amazonaws.com/irs-form-990/201540129349301184_public.xml","FUND BALANCE - RESTRICTED FUNDS RETURNED TO DONOR","2013-12-04","5144",NA,"161035005","501C3","NYS GEOLOGICAL ASSOCIATION DEPARTMENT OF EARTH SCIENCE",NA,"STATE UNIVERSITY OF NEW YORK A","OSWEGO","NY","13126",NA
"201540129349301184","222714165","NEW YORK STATE MUSEUM INSTITUTE","2013","990","https://s3.amazonaws.com/irs-form-990/201540129349301184_public.xml","FUND BALANCE - RESTRICTED FUNDS TRANSFERRED TO DONOR APPROVED ORGANIZATION","2013-12-04","16158",NA,"141599643","501C3","REGENTS RESEARCH FUND NYS EDUCATION DEPT",NA,"89 WASHINGTON AVE","ALBANY","NY","12234",NA
"202033219349325358","810904009","Oregon Military Museum Project","2019","990","https://s3.amazonaws.com/irs-form-990/202033219349325358_public.xml","Cash","2019-08-20","598440","cash","834722560","501(C)(3)","Thayer Family Foundation",NA,"6200 SW Virginia Avenue 210","Portland","OR","97239",NA
"202033219349325358","810904009","Oregon Military Museum Project","2019","990","https://s3.amazonaws.com/irs-form-990/202033219349325358_public.xml","cash","2019-09-05","7900","cash","941156347","501(c)(3)","Salvation Army Veterans & Family",NA,"14825 sw farmington rd","beaverton","OR","97007",NA
